2026-04-21T22:37:07.922110+00:00 [progress] eval=2400/4995 los_2ray=1.742dB hybrid_overall=1.929dB
2026-04-21T22:37:13.327302+00:00 [progress] eval=2450/4995 los_2ray=1.743dB hybrid_overall=1.929dB
2026-04-21T22:37:18.919979+00:00 [progress] eval=2500/4995 los_2ray=1.748dB hybrid_overall=1.934dB
2026-04-21T22:37:25.014004+00:00 [progress] eval=2550/4995 los_2ray=1.751dB hybrid_overall=1.936dB
2026-04-21T22:37:31.510496+00:00 [progress] eval=2600/4995 los_2ray=1.752dB hybrid_overall=1.938dB
2026-04-21T22:37:37.156244+00:00 [progress] eval=2650/4995 los_2ray=1.756dB hybrid_overall=1.949dB
2026-04-21T22:37:43.608222+00:00 [progress] eval=2700/4995 los_2ray=1.754dB hybrid_overall=1.949dB
2026-04-21T22:37:50.666778+00:00 [progress] eval=2750/4995 los_2ray=1.749dB hybrid_overall=1.943dB
2026-04-21T22:37:57.299552+00:00 [progress] eval=2800/4995 los_2ray=1.742dB hybrid_overall=1.935dB
2026-04-21T22:38:03.640784+00:00 [progress] eval=2850/4995 los_2ray=1.743dB hybrid_overall=1.935dB
2026-04-21T22:38:10.408884+00:00 [progress] eval=2900/4995 los_2ray=1.740dB hybrid_overall=1.933dB
2026-04-21T22:38:16.058270+00:00 [progress] eval=2950/4995 los_2ray=1.739dB hybrid_overall=1.930dB
2026-04-21T22:38:22.245935+00:00 [progress] eval=3000/4995 los_2ray=1.737dB hybrid_overall=1.926dB
2026-04-21T22:38:28.220631+00:00 [progress] eval=3050/4995 los_2ray=1.735dB hybrid_overall=1.922dB
2026-04-21T22:38:33.402924+00:00 [progress] eval=3100/4995 los_2ray=1.734dB hybrid_overall=1.919dB
2026-04-21T22:38:38.537717+00:00 [progress] eval=3150/4995 los_2ray=1.736dB hybrid_overall=1.919dB
2026-04-21T22:38:44.048448+00:00 [progress] eval=3200/4995 los_2ray=1.732dB hybrid_overall=1.913dB
2026-04-21T22:38:49.437476+00:00 [progress] eval=3250/4995 los_2ray=1.733dB hybrid_overall=1.911dB
2026-04-21T22:38:54.610364+00:00 [progress] eval=3300/4995 los_2ray=1.731dB hybrid_overall=1.908dB
2026-04-21T22:38:59.420293+00:00 [progress] eval=3350/4995 los_2ray=1.728dB hybrid_overall=1.903dB
2026-04-21T22:39:04.896276+00:00 [progress] eval=3400/4995 los_2ray=1.730dB hybrid_overall=1.904dB
2026-04-21T22:39:09.627405+00:00 [progress] eval=3450/4995 los_2ray=1.728dB hybrid_overall=1.900dB
2026-04-21T22:39:14.664134+00:00 [progress] eval=3500/4995 los_2ray=1.732dB hybrid_overall=1.905dB
2026-04-21T22:39:19.300604+00:00 [progress] eval=3550/4995 los_2ray=1.731dB hybrid_overall=1.905dB
2026-04-21T22:39:24.700356+00:00 [progress] eval=3600/4995 los_2ray=1.732dB hybrid_overall=1.908dB
2026-04-21T22:39:30.383058+00:00 [progress] eval=3650/4995 los_2ray=1.733dB hybrid_overall=1.910dB
2026-04-21T22:39:35.661508+00:00 [progress] eval=3700/4995 los_2ray=1.733dB hybrid_overall=1.910dB
2026-04-21T22:39:40.990272+00:00 [progress] eval=3750/4995 los_2ray=1.735dB hybrid_overall=1.914dB
2026-04-21T22:39:45.978843+00:00 [progress] eval=3800/4995 los_2ray=1.733dB hybrid_overall=1.914dB
2026-04-21T22:39:51.264448+00:00 [progress] eval=3850/4995 los_2ray=1.727dB hybrid_overall=1.907dB
2026-04-21T22:39:56.106791+00:00 [progress] eval=3900/4995 los_2ray=1.729dB hybrid_overall=1.909dB
2026-04-21T22:40:01.297064+00:00 [progress] eval=3950/4995 los_2ray=1.731dB hybrid_overall=1.911dB
2026-04-21T22:40:05.974066+00:00 [progress] eval=4000/4995 los_2ray=1.732dB hybrid_overall=1.912dB
2026-04-21T22:40:10.663722+00:00 [progress] eval=4050/4995 los_2ray=1.735dB hybrid_overall=1.915dB
2026-04-21T22:40:14.557611+00:00 [progress] eval=4100/4995 los_2ray=1.736dB hybrid_overall=1.915dB
2026-04-21T22:40:18.626095+00:00 [progress] eval=4150/4995 los_2ray=1.738dB hybrid_overall=1.915dB
2026-04-21T22:40:22.958188+00:00 [progress] eval=4200/4995 los_2ray=1.737dB hybrid_overall=1.912dB
2026-04-21T22:40:26.710991+00:00 [progress] eval=4250/4995 los_2ray=1.735dB hybrid_overall=1.909dB
2026-04-21T22:40:31.610691+00:00 [progress] eval=4300/4995 los_2ray=1.735dB hybrid_overall=1.907dB
2026-04-21T22:40:35.230267+00:00 [progress] eval=4350/4995 los_2ray=1.734dB hybrid_overall=1.906dB
2026-04-21T22:40:38.847716+00:00 [progress] eval=4400/4995 los_2ray=1.734dB hybrid_overall=1.906dB
2026-04-21T22:40:42.274729+00:00 [progress] eval=4450/4995 los_2ray=1.737dB hybrid_overall=1.909dB
2026-04-21T22:40:45.958186+00:00 [progress] eval=4500/4995 los_2ray=1.737dB hybrid_overall=1.910dB
2026-04-21T22:40:49.555322+00:00 [progress] eval=4550/4995 los_2ray=1.738dB hybrid_overall=1.911dB
2026-04-21T22:40:53.176895+00:00 [progress] eval=4600/4995 los_2ray=1.739dB hybrid_overall=1.912dB
2026-04-21T22:40:56.786885+00:00 [progress] eval=4650/4995 los_2ray=1.740dB hybrid_overall=1.913dB
2026-04-21T22:41:00.268777+00:00 [progress] eval=4700/4995 los_2ray=1.741dB hybrid_overall=1.913dB
2026-04-21T22:41:04.799223+00:00 [progress] eval=4750/4995 los_2ray=1.744dB hybrid_overall=1.915dB
2026-04-21T22:41:09.514828+00:00 [progress] eval=4800/4995 los_2ray=1.747dB hybrid_overall=1.920dB
2026-04-21T22:41:13.058857+00:00 [progress] eval=4850/4995 los_2ray=1.748dB hybrid_overall=1.920dB
2026-04-21T22:41:16.760657+00:00 [progress] eval=4900/4995 los_2ray=1.749dB hybrid_overall=1.921dB
2026-04-21T22:41:20.361282+00:00 [progress] eval=4950/4995 los_2ray=1.751dB hybrid_overall=1.924dB
2026-04-21T22:41:23.848557+00:00 [done] summary=C:\TFG\TFGpractice\TFGSeventyEighthTry78\hybrid_out_final_dml\hybrid_eval_summary.json
