split,city,n_samples,task,scope,model_rmse_pw,prior_rmse_pw,delta_rmse_pw,model_mae_pw,prior_mae_pw,delta_mae_pw,n_pixels
train,Abidjan,175,path_loss,overall,1.4083836245208348,1.6520284672098755,-0.24364484268904074,0.8673824857317866,1.093879007882685,-0.22649652215089844,27422319
train,Abidjan,175,path_loss,los,1.3760096102299688,1.6212375386714157,-0.24522792844144692,0.8546461706395125,1.0784003936648998,-0.22375422302538728,26184945
train,Abidjan,175,path_loss,nlos,1.9725877873951325,2.2049991069926738,-0.23241131959754124,1.1369045290438213,1.421432773373354,-0.2845282443295327,1237374
train,Abidjan,175,delay_spread,overall,7.704214617955392,8.055744730079777,-0.3515301121243848,1.9168988013322692,1.8789370856897347,0.03796171564253448,33853705
train,Abidjan,175,delay_spread,los,7.773318721906136,8.195674871465513,-0.42235614955937706,2.298058744520229,2.294196346949077,0.003862397571152254,26184945
train,Abidjan,175,delay_spread,nlos,7.463438015197392,7.558455296052585,-0.09501728085519279,0.6154300557431334,0.46103627185390034,0.15439378388923303,7668760
train,Abidjan,175,angular_spread,overall,10.41264414317612,12.712800412592568,-2.3001562694164477,3.5480435455892123,3.73961671751936,-0.1915731719301479,33853705
train,Abidjan,175,angular_spread,los,11.449780661244768,14.130888977056244,-2.6811083158114766,4.408990353432335,4.696991591775111,-0.28800123834277613,26184945
train,Abidjan,175,angular_spread,nlos,5.567926099713732,5.624644462376737,-0.05671836266300456,0.6083447907300445,0.470664871586221,0.13767991914382355,7668760
train,Abu Dhabi,1105,path_loss,overall,1.7377751953976939,2.057991052236774,-0.32021585683908005,0.9475125407417546,1.2889819387570287,-0.3414693980152741,184034170
train,Abu Dhabi,1105,path_loss,los,1.3733021682419648,1.6877254001250759,-0.31442323188311105,0.7619583425397396,1.0953220499904437,-0.3333637074507041,165830377
train,Abu Dhabi,1105,path_loss,nlos,3.6536750492053494,4.10726282120387,-0.4535877719985204,2.637848347250903,3.0531578060438034,-0.41530945879290027,18203793
train,Abu Dhabi,1105,delay_spread,overall,37.36545191805103,39.98578796301663,-2.6203360449655975,14.493210449378388,13.336819078892702,1.1563913704856859,244158465
train,Abu Dhabi,1105,delay_spread,los,34.50930320938384,38.15021842106817,-3.64091521168433,17.678066675625995,16.753242458404404,0.924824217221591,165830377
train,Abu Dhabi,1105,delay_spread,nlos,42.78774397246551,43.617770639397804,-0.8300266669322909,7.750470693618856,6.103822497071138,1.6466481965477175,78328088
train,Abu Dhabi,1105,angular_spread,overall,11.733142874300405,13.905800981807113,-2.1726581075067077,6.039763198798089,5.739667527741026,0.30009567105706303,244158465
train,Abu Dhabi,1105,angular_spread,los,12.59183661401778,15.395034669363717,-2.8031980553459377,7.747262699344829,7.6812955898878,0.06596710945702888,165830377
train,Abu Dhabi,1105,angular_spread,nlos,9.666682316373764,10.049321476316383,-0.38263915994261843,2.4247728010073546,1.628997618013585,0.7957751829937696,78328088
train,Alexandria,245,path_loss,overall,1.4847609460599744,1.6512204478920611,-0.1664595018320867,0.8939138415170046,1.062663048423562,-0.16874920690655737,42338170
