split,subexpert,n_samples,task,scope,model_rmse_pw,prior_rmse_pw,delta_rmse_pw,model_mae_pw,prior_mae_pw,delta_mae_pw,n_pixels
all,dense|high_ant,1957,path_loss,overall,1.80415198098779,2.1643954645229426,-0.3602434835351527,1.086865223969397,1.4542702035348292,-0.36740497956543217,215436629
all,dense|high_ant,1957,path_loss,los,1.743967054234929,2.118244519177416,-0.3742774649424869,1.0426892822785667,1.417615112674504,-0.3749258303959373,197733553
all,dense|high_ant,1957,path_loss,nlos,2.374894653558335,2.625304735742008,-0.2504100821836732,1.5802860642141539,1.8636872474523742,-0.2834011832382204,17703076
all,dense|high_ant,1957,delay_spread,overall,12.72886034036867,13.376208037021001,-0.6473476966523322,2.494241638538185,2.430423659957633,0.06381797858055194,308043796
all,dense|high_ant,1957,delay_spread,los,12.625561998012198,13.547869011518241,-0.9223070135060425,3.3547073939507372,3.3714556369449347,-0.016748242994197415,197733553
all,dense|high_ant,1957,delay_spread,nlos,12.911956622869367,13.06285671554914,-0.15090009267977322,0.9518377153090388,0.7436030194974458,0.20823469581159304,110310243
all,dense|high_ant,1957,angular_spread,overall,11.689596590584717,14.330097323627657,-2.6405007330429395,4.623050788952226,4.713546946161908,-0.09049615720968163,308043796
all,dense|high_ant,1957,angular_spread,los,13.927279817650433,17.331592729001816,-3.404312911351383,6.817825069582232,7.05845736076747,-0.24063229118523832,197733553
all,dense|high_ant,1957,angular_spread,nlos,5.821932492017304,5.916416118112005,-0.09448362609470173,0.6888693181928107,0.5102430990924549,0.1786262191003558,110310243
all,dense|low_ant,2018,path_loss,overall,2.449322782609824,2.7852113586903857,-0.33588857608056166,1.5388467549681408,1.86918992172107,-0.3303431667529291,128001451
all,dense|low_ant,2018,path_loss,los,1.999115682085657,2.3262801929906303,-0.3271645109049732,1.274049307069779,1.5604149433636172,-0.28636563629383827,93025332
all,dense|low_ant,2018,path_loss,nlos,3.3653789356368087,3.7411954514356496,-0.3758165157988409,2.2431235917605385,2.69043297812022,-0.4473093863596813,34976119
all,dense|low_ant,2018,delay_spread,overall,26.61311822341754,28.190970770548017,-1.577852547130476,7.1496211179508276,6.603332673997023,0.5462884439538049,320067763
all,dense|low_ant,2018,delay_spread,los,30.981356810802396,34.69905282348965,-3.717696012687256,16.742177200769905,16.80281737400196,-0.060640173232055616,93025332
all,dense|low_ant,2018,delay_spread,nlos,24.60033329086231,25.04061463777194,-0.4402813469096323,3.219295365906451,2.424332089562227,0.794963276344224,227042431
all,dense|low_ant,2018,angular_spread,overall,12.12099336589838,14.520392291560796,-2.3993989256624157,4.790203869712664,4.976862539437393,-0.18665866972472944,320067763
all,dense|low_ant,2018,angular_spread,los,19.368020003571708,24.196081966881845,-4.828061963310137,13.28700677613151,14.906093920882654,-1.6190871447511448,93025332
all,dense|low_ant,2018,angular_spread,nlos,7.308772641883253,7.573286838067866,-0.2645141961846136,1.3088373972068557,0.9085919511473365,0.40024544605951917,227042431
all,dense|mid_ant,2055,path_loss,overall,2.182105403041028,2.510875226832868,-0.32876982379183994,1.3440146498537804,1.6663492320991247,-0.3223345822453443,176212911
all,dense|mid_ant,2055,path_loss,los,1.9077407044929109,2.250857635794001,-0.34311693130109,1.1866331836213773,1.4979137359687624,-0.31128055234738516,139437456
all,dense|mid_ant,2055,path_loss,nlos,3.002692618510193,3.316472881033364,-0.31378026252317115,1.9407406880343843,2.3049875905762693,-0.3642469025418851,36775455
all,dense|mid_ant,2055,delay_spread,overall,25.513555972233444,26.920955378978007,-1.4073994067445632,6.888462381571882,6.273787225573948,0.6146751559979338,324395416
all,dense|mid_ant,2055,delay_spread,los,25.901477360123987,28.5631581701706,-2.6616808100466116,11.696943242966581,11.305078771030374,0.39186447193620744,139437456
all,dense|mid_ant,2055,delay_spread,nlos,25.217161889901092,25.6134044134612,-0.39624252356010814,3.2634097735938203,2.480760468007798,0.7826493055860224,184957960
all,dense|mid_ant,2055,angular_spread,overall,13.209770452564554,16.068473999735822,-2.8587035471712685,5.8693415721331075,6.135640440607294,-0.2662988684741867,324395416
all,dense|mid_ant,2055,angular_spread,los,17.892586681134304,22.58228709317261,-4.689700412038306,11.664182974914404,12.891051307991146,-1.2268683330767427,139437456
all,dense|mid_ant,2055,angular_spread,nlos,8.043438159490194,8.270084727326546,-0.22664656783635273,1.5006842527531767,1.04282203056643,0.45786222218674677,184957960
all,mixed|high_ant,2156,path_loss,overall,1.482225367128763,1.77536050954189,-0.293135142413127,0.8451245082367119,1.1759051828597087,-0.33078067462299676,386436304
all,mixed|high_ant,2156,path_loss,los,1.4432325479880723,1.7383091944644966,-0.2950766464764243,0.821644609437958,1.153676611323148,-0.33203200188519,374148088
all,mixed|high_ant,2156,path_loss,nlos,2.381222201792849,2.6675407167145258,-0.2863185149216769,1.5600337752616964,1.8527143710136065,-0.2926805957519101,12288216
all,mixed|high_ant,2156,delay_spread,overall,13.123064854349861,13.802452672724883,-0.6793878183750213,2.768041453025494,2.529870264371199,0.2381711886542952,455425489
all,mixed|high_ant,2156,delay_spread,los,12.852672776690687,13.670099180462122,-0.8174264037714352,3.1427809898091574,2.899715458450873,0.24306553135828457,374148088
all,mixed|high_ant,2156,delay_spread,nlos,14.301994722277863,14.396036249644864,-0.09404152736700055,1.0429853133245337,0.8273445312160869,0.21564078210844684,81277401
all,mixed|high_ant,2156,angular_spread,overall,9.570229459219965,11.88881488185065,-2.318585422630685,3.5878126470403813,3.585299319337621,0.0025133277027604706,455425489
all,mixed|high_ant,2156,angular_spread,los,10.234488034979638,12.849731788552136,-2.615243753572498,4.224329111964401,4.263030643517339,-0.03870153155293732,374148088
all,mixed|high_ant,2156,angular_spread,nlos,5.570473381393069,5.649299877628988,-0.07882649623591931,0.6577064557055723,0.4654667856935842,0.1922396700119881,81277401
all,mixed|low_ant,2060,path_loss,overall,2.118751920471235,2.393279952154633,-0.27452803168339823,1.2704821729493903,1.5219263742983842,-0.2514442013489939,279104131
