split,city,subexpert,n_samples,task,scope,model_rmse_pw,prior_rmse_pw,delta_rmse_pw,model_mae_pw,prior_mae_pw,delta_mae_pw,n_pixels
train,Abidjan,dense|high_ant,25,path_loss,overall,1.0943522407734445,1.8796213891193683,-0.7852691483459238,0.6037508124598394,1.3262869252146512,-0.7225361127548118,3412861
train,Abidjan,dense|high_ant,25,path_loss,los,1.0855314082977596,1.882242414739446,-0.7967110064416865,0.5957654743887743,1.3270201619097475,-0.7312546875209732,3352485
train,Abidjan,dense|high_ant,25,path_loss,nlos,1.5050904560052298,1.727855838956417,-0.22276538295118709,1.0471500736902262,1.2855722981603694,-0.23842222447014327,60376
train,Abidjan,dense|high_ant,25,delay_spread,overall,1.284853740039891,1.459208275447182,-0.17435453540729107,0.5290739989281774,0.7757904802375716,-0.24671648130939416,4086264
train,Abidjan,dense|high_ant,25,delay_spread,los,1.4020763309379611,1.5965687970772051,-0.19449246613924398,0.6425969851934461,0.9413955035406572,-0.29879851834721105,3352485
train,Abidjan,dense|high_ant,25,delay_spread,nlos,0.4602404065361515,0.45996596068871015,0.00027444584744135136,0.01041085636639714,0.019175336809640984,-0.008764480443243844,733779
train,Abidjan,dense|high_ant,25,angular_spread,overall,9.545836321375283,11.551076931823616,-2.0052406104483325,2.978770679188863,2.942522688512049,0.036247990676813835,4086264
train,Abidjan,dense|high_ant,25,angular_spread,los,10.483890585011215,12.70720727218377,-2.223316687172554,3.614586339498909,3.5697920395244127,0.044794299974496354,3352485
train,Abidjan,dense|high_ant,25,angular_spread,nlos,2.297837767555578,2.3004741583071584,-0.0026363907515802865,0.07386005725975149,0.07665809752300623,-0.002798040263254739,733779
train,Abidjan,dense|low_ant,37,path_loss,overall,1.8670822500288564,2.353948086689384,-0.48686583666052763,1.1537992724430959,1.5977867051012034,-0.4439874326581075,3232943
train,Abidjan,dense|low_ant,37,path_loss,los,1.7841952639714456,2.325810507986608,-0.5416152440151625,1.12458715130764,1.5919782368022608,-0.46739108549462083,2645491
train,Abidjan,dense|low_ant,37,path_loss,nlos,2.202021759428518,2.4767028357838,-0.27468107635528183,1.2853511462425866,1.6239439978314185,-0.3385928515888319,587452
train,Abidjan,dense|low_ant,37,delay_spread,overall,12.33792438205713,13.051687765043688,-0.7137633829865582,3.677457423723397,3.4757651403211938,0.20169228340220302,5829376
train,Abidjan,dense|low_ant,37,delay_spread,los,14.162156275589991,15.38050100010686,-1.218344724516868,6.684928141647429,6.6443759164177845,0.040552225229644634,2645491
train,Abidjan,dense|low_ant,37,delay_spread,nlos,10.585685834496259,10.739177826011913,-0.1534919915156543,1.1785491619625572,0.8429654992237765,0.3355836627387807,3183885
train,Abidjan,dense|low_ant,37,angular_spread,overall,14.647651428394909,17.638947922704478,-2.9912964943095695,6.430521524730949,6.768960841606375,-0.3384393168754256,5829376
train,Abidjan,dense|low_ant,37,angular_spread,los,20.4987952571626,25.13110715122496,-4.632311894062358,13.047470134088531,14.102564573551753,-1.0550944394632218,2645491
train,Abidjan,dense|low_ant,37,angular_spread,nlos,6.609206106182015,6.699159148192913,-0.08995304201089827,0.9324968865425023,0.6754673707396781,0.2570295158028242,3183885
train,Abidjan,dense|mid_ant,38,path_loss,overall,1.4600561021091505,2.0309577990791854,-0.5709016969700349,0.8666879802801032,1.3437166008598287,-0.4770286205797255,4344470
train,Abidjan,dense|mid_ant,38,path_loss,los,1.4439329463548376,2.0446753218604106,-0.600742375505573,0.8624378649004959,1.3566565226944567,-0.4942186577939608,3982250
train,Abidjan,dense|mid_ant,38,path_loss,nlos,1.6268127584923824,1.873537237503029,-0.24672447901064665,0.9134137526701659,1.2014547814249197,-0.2880410287547538,362220
train,Abidjan,dense|mid_ant,38,delay_spread,overall,5.939518599534537,6.213833922635281,-0.274315323100744,1.7748685432736966,1.9786355104801907,-0.20376696720649412,6190250
train,Abidjan,dense|mid_ant,38,delay_spread,los,7.088958197928179,7.444914315704636,-0.35595611777645697,2.6807875082396886,2.9871042791449556,-0.306316770905267,3982250
train,Abidjan,dense|mid_ant,38,delay_spread,nlos,2.875558364596118,2.8783532492948836,-0.002794884698765543,0.14099366352523582,0.15980636309195256,-0.018812699566716745,2208000
train,Abidjan,dense|mid_ant,38,angular_spread,overall,13.461066049171675,16.707449700348686,-3.2463836511770108,5.757998848996405,6.427293192924357,-0.6692943439279517,6190250
train,Abidjan,dense|mid_ant,38,angular_spread,los,16.369498469121755,20.495751498624706,-4.126253029502951,8.73128703936217,9.789606582334107,-1.0583195429719368,3982250
train,Abidjan,dense|mid_ant,38,angular_spread,nlos,4.97227518210556,4.995127156648236,-0.022851974542676068,0.395509620555933,0.36317552185058594,0.032334098705347036,2208000
train,Abidjan,mixed|high_ant,9,path_loss,overall,0.7805434827600924,1.4810569625909715,-0.7005134798308791,0.4223813533784536,1.0832020142604657,-0.6608206608820121,1813966
train,Abidjan,mixed|high_ant,9,path_loss,los,0.771564043126857,1.4796868071973808,-0.7081227640705238,0.4178327932541665,1.0830047352026133,-0.6651719419484468,1799659
train,Abidjan,mixed|high_ant,9,path_loss,nlos,1.5370019259511116,1.6443289033312882,-0.1073269773801766,0.9945391367472817,1.1080175554293243,-0.11347841868204267,14307
train,Abidjan,mixed|high_ant,9,delay_spread,overall,0.9422246573246379,1.1456360822299219,-0.20341142490528397,0.43316700768352107,0.64244042003834,-0.20927341235481894,1964529
train,Abidjan,mixed|high_ant,9,delay_spread,los,0.9699364151267115,1.1850818161303662,-0.21514540100365476,0.4713464424024218,0.6994526159191825,-0.2281061735167607,1799659
train,Abidjan,mixed|high_ant,9,delay_spread,nlos,0.5562152248321344,0.5558176899653002,0.0003975348668341372,0.01641477003346234,0.020116533752698697,-0.0037017637192363582,164870
train,Abidjan,mixed|high_ant,9,angular_spread,overall,6.905204647391275,8.505443500188093,-1.600238852796818,1.6067282778085739,1.625022190433432,-0.018293912624858244,1964529
train,Abidjan,mixed|high_ant,9,angular_spread,los,7.159464053211334,8.841655879152443,-1.6821918259411088,1.7434419260120946,1.7634060726921044,-0.019964146680009787,1799659
train,Abidjan,mixed|high_ant,9,angular_spread,nlos,2.940536361164688,2.9460577504373986,-0.0055213892727103975,0.11441343014891155,0.11447619811091768,-6.276796200613277e-05,164870
train,Abidjan,mixed|low_ant,9,path_loss,overall,1.4186171922625654,1.7706809260960756,-0.3520637338335102,0.8066514003573912,1.1090336602764155,-0.30238225991902423,1377202
train,Abidjan,mixed|low_ant,9,path_loss,los,1.344835166247312,1.7266597368672705,-0.38182457061995856,0.7748691279805829,1.0849926774734653,-0.31012354949288234,1272486
