group_type,group,pair,pair_label,task,scope,n_samples,rmse_pw,n_pixels,ssim_pw,ssim_pixels,ssim_sample_mean,ssim_sample_count,map_corr,map_corr_pixels,grad_mag_corr,grad_corr_pixels
global,all,prior,GT-prior,path_loss,overall,10,1.7164258307763733,1964610,0.9092839566423232,1964609,0.8993155574674727,10,0.9567596692674788,1964610,0.8417684898073332,1964309
global,all,prior,GT-prior,path_loss,los,10,1.6843172231965324,1861118,0.9130349624220601,1861117,0.8987923748221638,10,0.9483433330980229,1861118,0.8457635708742371,1861065
global,all,prior,GT-prior,path_loss,nlos,10,2.215797853129669,103492,0.841828881624288,103492,0.8728971809443797,10,0.786242481612942,103492,0.7165334960309733,103244
global,all,prior,GT-prior,delay_spread,overall,10,5.916605058972761,2292670,0.8657610297027625,2292670,0.8596191632809564,10,0.4159618064216141,2292670,0.20470021446764983,2292670
global,all,prior,GT-prior,delay_spread,los,10,5.1250840157635045,1861118,0.8740056641684851,1861118,0.8275897257205319,10,0.30069393745329337,1861118,0.1949274587365138,1861118
global,all,prior,GT-prior,delay_spread,nlos,10,8.526271777856062,431552,0.8302050883386233,431552,0.8867649504025457,10,0.03808318287045915,412912,0.22774376798622198,431552
global,all,prior,GT-prior,angular_spread,overall,10,12.17011633733829,2292670,0.716797614247799,2292670,0.7054994722197485,10,0.3500681137037637,2292670,0.24208823296803358,2292670
global,all,prior,GT-prior,angular_spread,los,10,12.560003039215564,1861118,0.7199087498423653,1861118,0.6476224912691526,10,0.3258944858703,1861118,0.2736578738131452,1861118
global,all,prior,GT-prior,angular_spread,nlos,10,10.32132395113485,431552,0.7033804815372847,431552,0.7330165798102479,10,0.05983953493941681,412912,0.1942267391854409,431552
global,all,model,GT-model,path_loss,overall,10,1.334615478145306,1964610,0.9409938213331058,1964609,0.9305818947832589,10,0.9738815359882637,1964610,0.8860520378252643,1964309
global,all,model,GT-model,path_loss,los,10,1.2919616986207152,1861118,0.9457874939856776,1861117,0.931841020530829,10,0.9691314302585836,1861118,0.8921808151067493,1861065
global,all,model,GT-model,path_loss,nlos,10,1.948311838905805,103492,0.8547882627765379,103492,0.8968572225925371,10,0.8071800508785753,103492,0.7312022824970661,103244
global,all,model,GT-model,delay_spread,overall,10,5.486563570118447,2292670,0.8622310194653622,2292670,0.855258208788135,10,0.5594144699412893,2292670,0.3559234562626605,2292670
global,all,model,GT-model,delay_spread,los,10,4.540636794012033,1861118,0.882910802470221,1861118,0.8350349170883055,10,0.5235947448388095,1861118,0.35502846176270375,1861118
global,all,model,GT-model,delay_spread,nlos,10,8.426596564748717,431552,0.7730470592787875,431552,0.87350085695047,10,0.11050617898153035,412912,0.33680038226482945,431552
global,all,model,GT-model,angular_spread,overall,10,9.789118542521129,2292670,0.7428613229703225,2292670,0.7324846608261872,10,0.6451136176868749,2292670,0.4128464172470551,2292670
global,all,model,GT-model,angular_spread,los,10,9.699970575171491,1861118,0.7570584812935603,1861118,0.6926217198231723,10,0.653334456974723,1861118,0.41118386363288595,1861118
global,all,model,GT-model,angular_spread,nlos,10,10.164626669075155,431552,0.6816344328059208,431552,0.7435484720207781,10,0.16217027657386268,412912,0.40483704405337323,431552
global,all,prior_vs_model,prior-model,path_loss,overall,10,1.0522432113800568,1964610,0.9622504321684292,1964609,0.9608549179310044,10,0.9821197451006781,1964610,0.9422270662251726,1964309
global,all,prior_vs_model,prior-model,path_loss,los,10,1.0437703089809915,1861118,0.9613316040712253,1861117,0.9585287673413928,10,0.9782058382818475,1861118,0.938918424882149,1861065
global,all,prior_vs_model,prior-model,path_loss,nlos,10,1.194397445284997,103492,0.97877389863718,103492,0.9631254274512646,10,0.967605757951081,103492,0.9772964288652123,103244
global,all,prior_vs_model,prior-model,delay_spread,overall,10,2.040998643038506,2292670,0.9247579809853275,2292670,0.9208299304607788,10,0.7359810695263364,2292670,0.6387217334756857,2292670
global,all,prior_vs_model,prior-model,delay_spread,los,10,2.207656842360016,1861118,0.9394810003201493,1861118,0.9167350228051824,10,0.562047896757849,1861118,0.5968933917713782,1861118
global,all,prior_vs_model,prior-model,delay_spread,nlos,10,1.0545271140270582,431552,0.8612632542817442,431552,0.9303522900598793,10,0.31627730919258057,431552,0.7499159763168506,431552
global,all,prior_vs_model,prior-model,angular_spread,overall,10,4.719399114174578,2292670,0.8012472994144089,2292670,0.7934830410280784,10,0.6182949230909544,2292670,0.5367154611099614,2292670
global,all,prior_vs_model,prior-model,angular_spread,los,10,5.214521595999479,1861118,0.808263391055439,1861118,0.7665707441215474,10,0.5698896460222854,1861118,0.4972497448709153,1861118
global,all,prior_vs_model,prior-model,angular_spread,nlos,10,1.030094483422029,431552,0.7709895913218255,431552,0.8151141878029262,10,0.3077211845151602,431552,0.6933974292812523,431552
topology_class_6,mixed_compact_lowrise,prior,GT-prior,path_loss,overall,5,2.1260393492638117,798634,0.8587128957420139,798633,0.8547619605513186,5,0.9371268840876003,798634,0.738076795724989,798358
topology_class_6,mixed_compact_lowrise,prior,GT-prior,path_loss,los,5,2.1076045219667545,701813,0.8615345329595617,701812,0.8534353475519524,5,0.9126350892904576,701813,0.7322660947725778,701761
topology_class_6,mixed_compact_lowrise,prior,GT-prior,path_loss,nlos,5,2.2551647711714633,96821,0.8382601131956489,96821,0.852938011819175,5,0.7818995610798,96821,0.7076961504689498,96597
topology_class_6,mixed_compact_lowrise,prior,GT-prior,delay_spread,overall,5,8.248647224185095,1065720,0.7722826074955436,1065720,0.7722826074955436,5,0.37640563674469996,1065720,0.19548872607502996,1065720
topology_class_6,mixed_compact_lowrise,prior,GT-prior,delay_spread,los,5,7.657881282007992,701813,0.7505937533111161,701813,0.7069338696209756,5,0.18706142004957907,701813,0.17472392339770837,701813
topology_class_6,mixed_compact_lowrise,prior,GT-prior,delay_spread,nlos,5,9.282393951062835,363907,0.8141106564798596,363907,0.8498190074015293,5,0.03926686648781706,363907,0.20632060397740304,363907
topology_class_6,mixed_compact_lowrise,prior,GT-prior,angular_spread,overall,5,16.03154154753528,1065720,0.544841336119448,1065720,0.544841336119448,5,0.3692955070229784,1065720,0.21154231027182008,1065720
topology_class_6,mixed_compact_lowrise,prior,GT-prior,angular_spread,los,5,18.05926523433044,701813,0.467300612988136,701813,0.422954102316644,5,0.31362825655295073,701813,0.21533869021555588,701813
topology_class_6,mixed_compact_lowrise,prior,GT-prior,angular_spread,nlos,5,11.121867082830738,363907,0.6943825307734542,363907,0.7127836181048794,5,0.0640959860752114,363907,0.19824368216671526,363907
topology_class_6,mixed_compact_lowrise,model,GT-model,path_loss,overall,5,1.8359003987327145,798634,0.8842259278853133,798633,0.8813518955518174,5,0.9557276811595365,798634,0.7996540480685765,798358
topology_class_6,mixed_compact_lowrise,model,GT-model,path_loss,los,5,1.815184178663401,701813,0.8889149773836659,701812,0.8835429284982311,5,0.94101530130791,701813,0.8034725084182539,701761
topology_class_6,mixed_compact_lowrise,model,GT-model,path_loss,nlos,5,1.9795927260151942,96821,0.8502371113420235,96821,0.8684246913953274,5,0.8030680345851622,96821,0.7215018963609887,96597
topology_class_6,mixed_compact_lowrise,model,GT-model,delay_spread,overall,5,7.653849419307837,1065720,0.756105731858539,1065720,0.7561057318585391,5,0.5411780037218848,1065720,0.3395737664863889,1065720
topology_class_6,mixed_compact_lowrise,model,GT-model,delay_spread,los,5,6.7319200007229485,701813,0.7622818307086662,701813,0.7146033007294574,5,0.5239272243206229,701813,0.34853945210322584,701813
topology_class_6,mixed_compact_lowrise,model,GT-model,delay_spread,nlos,5,9.173828389339807,363907,0.7441948137879764,363907,0.81173084503972,5,0.11778444762601817,363907,0.3053823168928583,363907
topology_class_6,mixed_compact_lowrise,model,GT-model,angular_spread,overall,5,12.869153904912022,1065720,0.5849298509397236,1065720,0.5849298509397236,5,0.6598227006592576,1065720,0.42636887306650634,1065720
topology_class_6,mixed_compact_lowrise,model,GT-model,angular_spread,los,5,13.75910321998141,701813,0.544079096936916,701813,0.49983794304873064,5,0.6840862533160404,701813,0.4360265992550485,701813
topology_class_6,mixed_compact_lowrise,model,GT-model,angular_spread,nlos,5,10.95046672509438,363907,0.6637125899883607,363907,0.7045289309987245,5,0.16679715993219105,363907,0.3934629009832015,363907
topology_class_6,mixed_compact_lowrise,prior_vs_model,prior-model,path_loss,overall,5,1.1314056402734562,798634,0.954171400513237,798633,0.9539269914833655,5,0.9786673324274826,798634,0.9180115315617424,798358
topology_class_6,mixed_compact_lowrise,prior_vs_model,prior-model,path_loss,los,5,1.117965256054894,701813,0.95064128880946,701812,0.9492564484663187,5,0.9679787035811194,701813,0.9044584301854138,701761
topology_class_6,mixed_compact_lowrise,prior_vs_model,prior-model,path_loss,nlos,5,1.2244264812174857,96821,0.9797595968244834,96821,0.9687092632779486,5,0.966480207548004,96821,0.9779721958931796,96597
topology_class_6,mixed_compact_lowrise,prior_vs_model,prior-model,delay_spread,overall,5,2.773346428894077,1065720,0.8649735538800142,1065720,0.8649735538800142,5,0.7283406546403286,1065720,0.6739184370445063,1065720
topology_class_6,mixed_compact_lowrise,prior_vs_model,prior-model,delay_spread,los,5,3.3160132845162167,701813,0.8776932902422149,701813,0.8568228890914469,5,0.3746209578143158,701813,0.6108770152122395,701813
topology_class_6,mixed_compact_lowrise,prior_vs_model,prior-model,delay_spread,nlos,5,1.1482890328596491,363907,0.8404429008956935,363907,0.8841614815206931,5,0.35735978129506457,363907,0.756046571205643,363907
topology_class_6,mixed_compact_lowrise,prior_vs_model,prior-model,angular_spread,overall,5,6.078778973924292,1065720,0.6830762787965573,1065720,0.6830762787965574,5,0.6557068597714978,1065720,0.6086694927387033,1065720
topology_class_6,mixed_compact_lowrise,prior_vs_model,prior-model,angular_spread,los,5,7.447174056906985,701813,0.6454810498763611,701813,0.626705225488159,5,0.5472151403855823,701813,0.5455955886549644,701813
topology_class_6,mixed_compact_lowrise,prior_vs_model,prior-model,angular_spread,nlos,5,1.1208513929282902,363907,0.7555805735591467,363907,0.7749595208511826,5,0.3398328521603493,363907,0.7142514750034336,363907
topology_class_6,open_sparse_lowrise,prior,GT-prior,path_loss,overall,5,1.366769526692293,1165976,0.9439225067325453,1165976,0.9438691543836271,5,0.9702071242402631,1165976,0.9127689808264173,1165951
topology_class_6,open_sparse_lowrise,prior,GT-prior,path_loss,los,5,1.3657436097687017,1159305,0.9442119343163717,1159305,0.9441494020923749,5,0.9699601722484785,1159305,0.9144669500798436,1159304
topology_class_6,open_sparse_lowrise,prior,GT-prior,path_loss,nlos,5,1.534675765977843,6671,0.893624973369045,6671,0.8928563500695844,5,0.8492743972087048,6671,0.8449615190872072,6647
topology_class_6,open_sparse_lowrise,prior,GT-prior,delay_spread,overall,5,2.512598061678858,1226950,0.9469557190663692,1226950,0.9469557190663693,5,0.45032001266317323,1226950,0.2127012474435517,1226950
topology_class_6,open_sparse_lowrise,prior,GT-prior,delay_spread,los,5,2.5819568544220237,1159305,0.9487160151067997,1159305,0.9482455818200883,5,0.36948409874532007,1159305,0.20715815190762327,1159305
topology_class_6,open_sparse_lowrise,prior,GT-prior,delay_spread,nlos,5,0.5073197391811606,67645,0.9167876356729,67645,0.9237108934035622,5,0.029293248085399123,49005,0.3429930745862259,67645
topology_class_6,open_sparse_lowrise,prior,GT-prior,angular_spread,overall,5,7.315954647789112,1226950,0.8661576083200485,1226950,0.8661576083200486,5,0.33336733730036205,1226950,0.2686202030856493,1226950
topology_class_6,open_sparse_lowrise,prior,GT-prior,angular_spread,los,5,7.471195929879732,1159305,0.8728311251880053,1159305,0.8722908802216611,5,0.3333201410653494,1159305,0.3089627859787746,1159305
topology_class_6,open_sparse_lowrise,prior,GT-prior,angular_spread,nlos,5,3.7658249974831115,67645,0.7517863839485974,67645,0.7532495415156165,5,0.02823148752642609,49005,0.1726169576866368,67645
topology_class_6,open_sparse_lowrise,model,GT-model,path_loss,overall,5,0.832218347265848,1165976,0.9798768798590883,1165976,0.9798118940147003,5,0.98631599921674,1165976,0.9452110644963421,1165951
topology_class_6,open_sparse_lowrise,model,GT-model,path_loss,los,5,0.8276420540553113,1159305,0.9802165826392166,1159305,0.9801391125634267,5,0.9861522011577512,1159305,0.9458785768759015,1159304
topology_class_6,open_sparse_lowrise,model,GT-model,path_loss,nlos,5,1.4186764358551966,6671,0.92084238255485,6671,0.9252897537897466,5,0.866860687896195,6671,0.8721723742056059,6647
topology_class_6,open_sparse_lowrise,model,GT-model,delay_spread,overall,5,2.3163974047638862,1226950,0.9544106857177308,1226950,0.9544106857177308,5,0.5752545341487496,1226950,0.37012467993792686,1226950
topology_class_6,open_sparse_lowrise,model,GT-model,delay_spread,los,5,2.3798783500375644,1159305,0.9559364346885691,1159305,0.9554665334471533,5,0.5233934704351194,1159305,0.35895673890818935,1159305
topology_class_6,open_sparse_lowrise,model,GT-model,delay_spread,nlos,5,0.5063846547201811,67645,0.9282622873048737,67645,0.9352708688612204,5,0.05645836941904423,49005,0.5058188450531793,67645
topology_class_6,open_sparse_lowrise,model,GT-model,angular_spread,overall,5,5.933737466967363,1226950,0.8800394707126507,1226950,0.8800394707126508,5,0.632337413354728,1226950,0.4011009087781643,1226950
topology_class_6,open_sparse_lowrise,model,GT-model,angular_spread,los,5,6.036854428154795,1159305,0.885990643816356,1159305,0.8854054965976139,5,0.6347181218034877,1159305,0.396144719649899,1159305
topology_class_6,open_sparse_lowrise,model,GT-model,angular_spread,nlos,5,3.7489329211037132,67645,0.7780478270584128,67645,0.782568013042832,5,0.12781143069529535,49005,0.46602604963008915,67645
