city,sample,antenna_height_m
Abidjan,sample_00001,56.646873474121094
Abidjan,sample_00002,23.62197494506836
Abidjan,sample_00003,44.88655090332031
Abidjan,sample_00004,70.22184753417969
Abidjan,sample_00005,67.1734848022461
Abidjan,sample_00006,53.33488845825195
Abidjan,sample_00007,42.466617584228516
Abidjan,sample_00008,30.0325870513916
Abidjan,sample_00009,55.757198333740234
Abidjan,sample_00010,78.67354583740234
Abidjan,sample_00011,29.27204704284668
Abidjan,sample_00012,184.8488311767578
Abidjan,sample_00013,203.421630859375
Abidjan,sample_00014,51.152645111083984
Abidjan,sample_00015,67.12564849853516
Abidjan,sample_00016,72.43843078613281
Abidjan,sample_00017,35.66972351074219
Abidjan,sample_00018,55.895015716552734
Abidjan,sample_00019,33.18510055541992
Abidjan,sample_00020,89.5456771850586
Abidjan,sample_00021,89.8187026977539
Abidjan,sample_00022,22.358606338500977
Abidjan,sample_00023,48.13702392578125
Abidjan,sample_00024,222.28895568847656
Abidjan,sample_00025,27.70258331298828
Abidjan,sample_00026,63.45363235473633
Abidjan,sample_00027,72.10105895996094
Abidjan,sample_00028,317.1982116699219
Abidjan,sample_00029,71.61770629882812
Abidjan,sample_00030,18.42278480529785
Abidjan,sample_00031,276.8507385253906
Abidjan,sample_00032,26.805068969726562
Abidjan,sample_00033,54.84141540527344
Abidjan,sample_00034,53.99553298950195
Abidjan,sample_00035,59.53385543823242
Abidjan,sample_00036,34.58860397338867
Abidjan,sample_00037,36.140865325927734
Abidjan,sample_00038,54.650611877441406
Abidjan,sample_00039,291.2339172363281
Abidjan,sample_00040,67.42455291748047
Abidjan,sample_00041,90.99382019042969
Abidjan,sample_00042,41.94186782836914
Abidjan,sample_00043,155.7934112548828
Abidjan,sample_00044,72.63578796386719
Abidjan,sample_00045,80.43034362792969
Abidjan,sample_00046,67.10149383544922
Abidjan,sample_00047,119.75629425048828
Abidjan,sample_00048,234.25534057617188
Abidjan,sample_00049,92.95352935791016
Abidjan,sample_00050,241.0089111328125
Abidjan,sample_00051,85.42794036865234
Abidjan,sample_00052,50.303348541259766
Abidjan,sample_00053,247.92015075683594
Abidjan,sample_00054,55.9067497253418
Abidjan,sample_00055,302.634033203125
Abidjan,sample_00056,173.6774444580078
Abidjan,sample_00057,106.68115234375
Abidjan,sample_00058,75.15865325927734
Abidjan,sample_00059,45.21628189086914
Abidjan,sample_00060,42.65298080444336
Abidjan,sample_00061,368.5165100097656
Abidjan,sample_00062,62.399085998535156
Abidjan,sample_00063,66.65768432617188
Abidjan,sample_00064,102.26313018798828
Abidjan,sample_00065,337.33209228515625
Abidjan,sample_00066,59.43513488769531
Abidjan,sample_00067,415.70074462890625
Abidjan,sample_00068,83.4307632446289
Abidjan,sample_00069,55.973819732666016
Abidjan,sample_00070,21.200586318969727
Abidjan,sample_00071,323.0692138671875
Abidjan,sample_00072,67.49677276611328
Abidjan,sample_00073,149.5392608642578
Abidjan,sample_00074,71.1474380493164
Abidjan,sample_00075,144.36859130859375
Abidjan,sample_00076,99.61559295654297
Abidjan,sample_00077,31.214597702026367
Abidjan,sample_00078,38.21131134033203
Abidjan,sample_00079,160.51071166992188
Abidjan,sample_00080,335.8837890625
Abidjan,sample_00081,127.6242904663086
Abidjan,sample_00082,44.302181243896484
Abidjan,sample_00083,57.078369140625
Abidjan,sample_00084,161.7313690185547
Abidjan,sample_00085,60.291351318359375
Abidjan,sample_00086,115.96812438964844
Abidjan,sample_00087,100.74063873291016
Abidjan,sample_00088,72.56392669677734
Abidjan,sample_00089,62.509735107421875
Abidjan,sample_00090,63.96408462524414
Abidjan,sample_00091,77.13597869873047
Abidjan,sample_00092,57.59679412841797
Abidjan,sample_00093,29.097949981689453
Abidjan,sample_00094,93.90739440917969
Abidjan,sample_00095,39.2827033996582
Abidjan,sample_00096,69.20811462402344
Abidjan,sample_00097,59.10302734375
Abidjan,sample_00098,290.6962890625
Abidjan,sample_00099,284.6222839355469
Abidjan,sample_00100,60.3507080078125
Abidjan,sample_00101,119.2824935913086
Abidjan,sample_00102,194.45787048339844
Abidjan,sample_00103,287.7284240722656
Abidjan,sample_00104,81.31126403808594
Abidjan,sample_00105,83.94910430908203
Abidjan,sample_00106,32.23055648803711
Abidjan,sample_00107,74.33592987060547
Abidjan,sample_00108,35.559696197509766
Abidjan,sample_00109,49.115196228027344
Abidjan,sample_00110,48.92467498779297
Abidjan,sample_00111,63.02252197265625
Abidjan,sample_00112,90.46663665771484
Abidjan,sample_00113,17.500333786010742
Abidjan,sample_00114,67.59173583984375
Abidjan,sample_00115,80.08357238769531
Abidjan,sample_00116,57.063411712646484
Abidjan,sample_00117,111.52474975585938
Abidjan,sample_00118,54.84104537963867
Abidjan,sample_00119,89.46758270263672
Abidjan,sample_00120,53.22714614868164
Abidjan,sample_00121,50.31260299682617
Abidjan,sample_00122,75.33441925048828
Abidjan,sample_00123,64.50355529785156
Abidjan,sample_00124,33.53733825683594
Abidjan,sample_00125,240.8369140625
Abidjan,sample_00126,57.29557800292969
Abidjan,sample_00127,241.4027099609375
Abidjan,sample_00128,111.11444854736328
Abidjan,sample_00129,73.17157745361328
Abidjan,sample_00130,63.394432067871094
Abidjan,sample_00131,133.53651428222656
Abidjan,sample_00132,37.86045455932617
Abidjan,sample_00133,52.39078903198242
Abidjan,sample_00134,78.30030059814453
Abidjan,sample_00135,96.41483306884766
Abidjan,sample_00136,99.17024230957031
Abidjan,sample_00137,94.3864517211914
Abidjan,sample_00138,70.416015625
Abidjan,sample_00139,64.46432495117188
Abidjan,sample_00140,130.59475708007812
Abidjan,sample_00141,52.3352165222168
Abidjan,sample_00142,356.3143005371094
Abidjan,sample_00143,141.11585998535156
Abidjan,sample_00144,350.12835693359375
Abidjan,sample_00145,74.45865631103516
Abidjan,sample_00146,29.11505126953125
Abidjan,sample_00147,34.68665313720703
Abidjan,sample_00148,95.90818786621094
Abidjan,sample_00149,33.29715347290039
Abidjan,sample_00150,204.79563903808594
Abidjan,sample_00151,270.78875732421875
Abidjan,sample_00152,284.6869201660156
Abidjan,sample_00153,78.43574523925781
Abidjan,sample_00154,228.6375732421875
Abidjan,sample_00155,161.86212158203125
Abidjan,sample_00156,74.20149230957031
Abidjan,sample_00157,404.5024719238281
Abidjan,sample_00158,49.595420837402344
Abidjan,sample_00159,350.1123046875
Abidjan,sample_00160,301.02813720703125
Abidjan,sample_00161,37.213993072509766
Abidjan,sample_00162,78.94779205322266
Abidjan,sample_00163,55.83782958984375
Abidjan,sample_00164,250.60626220703125
Abidjan,sample_00165,346.0178527832031
Abidjan,sample_00166,55.41387939453125
Abidjan,sample_00167,36.363704681396484
Abidjan,sample_00168,83.67744445800781
Abidjan,sample_00169,72.4355239868164
Abidjan,sample_00170,79.10234069824219
Abidjan,sample_00171,29.182296752929688
Abidjan,sample_00172,109.03768920898438
Abidjan,sample_00173,59.965091705322266
Abidjan,sample_00174,20.23505973815918
Abidjan,sample_00175,42.6837043762207
Abu Dhabi,sample_00176,100.18733978271484
Abu Dhabi,sample_00177,64.60503387451172
Abu Dhabi,sample_00178,75.28490447998047
Abu Dhabi,sample_00179,56.91701889038086
Abu Dhabi,sample_00180,36.605072021484375
Abu Dhabi,sample_00181,59.58110427856445
Abu Dhabi,sample_00182,48.337100982666016
Abu Dhabi,sample_00183,82.513916015625
Abu Dhabi,sample_00184,42.345245361328125
Abu Dhabi,sample_00185,29.3413028717041
Abu Dhabi,sample_00186,96.77620697021484
Abu Dhabi,sample_00187,77.08588409423828
Abu Dhabi,sample_00188,53.33782196044922
Abu Dhabi,sample_00189,108.8387451171875
Abu Dhabi,sample_00190,356.4788513183594
Abu Dhabi,sample_00191,180.4423828125
Abu Dhabi,sample_00192,224.501708984375
Abu Dhabi,sample_00193,351.459716796875
Abu Dhabi,sample_00194,84.08656311035156
Abu Dhabi,sample_00195,63.896183013916016
Abu Dhabi,sample_00196,17.5447998046875
Abu Dhabi,sample_00197,96.77234649658203
Abu Dhabi,sample_00198,94.7219009399414
Abu Dhabi,sample_00199,91.36241149902344
Abu Dhabi,sample_00200,323.5220642089844
Abu Dhabi,sample_00201,101.20030975341797
Abu Dhabi,sample_00202,44.71250915527344
Abu Dhabi,sample_00203,285.9717102050781
Abu Dhabi,sample_00204,41.39408874511719
Abu Dhabi,sample_00205,59.5670166015625
Abu Dhabi,sample_00206,70.84152221679688
Abu Dhabi,sample_00207,45.441871643066406
Abu Dhabi,sample_00208,37.70309066772461
Abu Dhabi,sample_00209,56.232418060302734
Abu Dhabi,sample_00210,184.9689178466797
Abu Dhabi,sample_00211,81.406005859375
Abu Dhabi,sample_00212,97.4300537109375
Abu Dhabi,sample_00213,39.467063903808594
Abu Dhabi,sample_00214,206.15762329101562
Abu Dhabi,sample_00215,97.78638458251953
Abu Dhabi,sample_00216,379.3742370605469
Abu Dhabi,sample_00217,42.47630310058594
Abu Dhabi,sample_00218,349.8592224121094
Abu Dhabi,sample_00219,22.11354637145996
Abu Dhabi,sample_00220,76.71682739257812
Abu Dhabi,sample_00221,37.96677017211914
Abu Dhabi,sample_00222,65.3119888305664
Abu Dhabi,sample_00223,142.69326782226562
Abu Dhabi,sample_00224,158.13351440429688
Abu Dhabi,sample_00225,15.182572364807129
Abu Dhabi,sample_00226,64.46661376953125
Abu Dhabi,sample_00227,50.69919204711914
Abu Dhabi,sample_00228,21.631927490234375
Abu Dhabi,sample_00229,92.28427124023438
Abu Dhabi,sample_00230,68.09269714355469
Abu Dhabi,sample_00231,35.06801986694336
Abu Dhabi,sample_00232,28.998571395874023
Abu Dhabi,sample_00233,56.39867401123047
