scope,city_type_6,metric,kind,family,kl,tvd,best,mean,std,skew,excess_kurt
overall,(all),path_loss,pred_los,laplace,0.107300,0.185700,0,96.382,3.81,-0.894,0.939
overall,(all),path_loss,pred_los,gamma,0.140500,0.173200,0,96.382,3.81,-0.894,0.939
overall,(all),path_loss,pred_los,lognormal,0.186600,0.190100,0,96.382,3.81,-0.894,0.939
overall,(all),path_loss,pred_los,spike_plus_exp,1.471400,0.719500,0,96.382,3.81,-0.894,0.939
overall,(all),path_loss,pred_nlos,gmm5,0.008300,0.024500,1,36.538,22.385,0.938,0.358
overall,(all),path_loss,pred_nlos,gmm4,0.009700,0.026800,0,36.538,22.385,0.938,0.358
overall,(all),path_loss,pred_nlos,gmm3,0.013000,0.039800,0,36.538,22.385,0.938,0.358
overall,(all),path_loss,pred_nlos,gmm2,0.024900,0.063100,0,36.538,22.385,0.938,0.358
overall,(all),path_loss,pred_nlos,gamma,0.026900,0.053600,0,36.538,22.385,0.938,0.358
overall,(all),path_loss,pred_nlos,weibull,0.028300,0.085800,0,36.538,22.385,0.938,0.358
overall,(all),path_loss,pred_nlos,skew_normal,0.126200,0.183400,0,36.538,22.385,0.938,0.358
overall,(all),path_loss,pred_nlos,gaussian,0.139100,0.193600,0,36.538,22.385,0.938,0.358
overall,(all),path_loss,pred_nlos,lognormal,0.146400,0.094200,0,36.538,22.385,0.938,0.358
overall,(all),path_loss,pred_nlos,spike_plus_exp,0.174300,0.222600,0,36.538,22.385,0.938,0.358
overall,(all),path_loss,pred_nlos,laplace,0.180200,0.235500,0,36.538,22.385,0.938,0.358
overall,(all),path_loss,target_los,gmm4,0.002800,0.011200,1,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_los,gmm5,0.002800,0.011800,0,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_los,gmm3,0.002900,0.012700,0,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_los,gmm2,0.003900,0.023700,0,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_los,skew_normal,0.010500,0.054400,0,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_los,gaussian,0.010500,0.054500,0,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_los,gamma,0.026000,0.060500,0,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_los,laplace,0.028800,0.096500,0,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_los,weibull,0.044400,0.088200,0,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_los,lognormal,0.046800,0.069900,0,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_los,spike_plus_exp,1.246200,0.668500,0,96.951,5.344,0.04,0.611
overall,(all),path_loss,target_nlos,gmm5,0.037400,0.042500,1,107.059,4.317,-0.076,2.248
overall,(all),path_loss,target_nlos,gmm4,0.037500,0.046000,0,107.059,4.317,-0.076,2.248
overall,(all),path_loss,target_nlos,gmm3,0.038700,0.054800,0,107.059,4.317,-0.076,2.248
overall,(all),path_loss,target_nlos,gmm2,0.040900,0.062000,0,107.059,4.317,-0.076,2.248
overall,(all),path_loss,target_nlos,laplace,0.054300,0.109900,0,107.059,4.317,-0.076,2.248
overall,(all),path_loss,target_nlos,skew_normal,0.073500,0.115800,0,107.059,4.317,-0.076,2.248
overall,(all),path_loss,target_nlos,gaussian,0.073800,0.116300,0,107.059,4.317,-0.076,2.248
overall,(all),path_loss,target_nlos,gamma,0.093100,0.133300,0,107.059,4.317,-0.076,2.248
overall,(all),path_loss,target_nlos,lognormal,0.110600,0.143400,0,107.059,4.317,-0.076,2.248
overall,(all),path_loss,target_nlos,weibull,0.119300,0.098500,0,107.059,4.317,-0.076,2.248
overall,(all),path_loss,target_nlos,spike_plus_exp,1.628900,0.751700,0,107.059,4.317,-0.076,2.248
by_class,dense_block_highrise,angular_spread,pred_angular_spread,gmm5,0.016100,0.069600,1,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,pred_angular_spread,gmm4,0.036800,0.115300,0,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,pred_angular_spread,gmm3,0.037100,0.115500,0,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,pred_angular_spread,lognormal,0.147300,0.211200,0,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,pred_angular_spread,gamma,0.163500,0.207300,0,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,pred_angular_spread,gmm2,0.181600,0.204200,0,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,pred_angular_spread,weibull,0.196300,0.219500,0,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,pred_angular_spread,skew_normal,0.291600,0.264100,0,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,pred_angular_spread,gaussian,0.306200,0.270200,0,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,pred_angular_spread,spike_plus_exp,0.319800,0.265100,0,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,pred_angular_spread,laplace,0.342600,0.268500,0,11.599,10.125,1.018,0.559
by_class,dense_block_highrise,angular_spread,target_angular_spread,gmm5,0.626600,0.438700,1,12.947,20.512,1.634,2.632
