[prior-calibration] try=TFGFortyEighthTry48 device=directml dataset=CKM_Dataset_270326.h5 log_every=50
[prior-calibration] train 4200/11326 valid_pixels=841569390 zero_ratio=0.261
[prior-calibration] train 4250/11326 valid_pixels=851565417 zero_ratio=0.261
[prior-calibration] train 4300/11326 valid_pixels=861025398 zero_ratio=0.262
[prior-calibration] train 4350/11326 valid_pixels=870759954 zero_ratio=0.262
[prior-calibration] train 4400/11326 valid_pixels=880546333 zero_ratio=0.262
[prior-calibration] train 4450/11326 valid_pixels=891150328 zero_ratio=0.261
[prior-calibration] train 4500/11326 valid_pixels=901370254 zero_ratio=0.261
[prior-calibration] train 4550/11326 valid_pixels=911254670 zero_ratio=0.262
[prior-calibration] train 4600/11326 valid_pixels=921083236 zero_ratio=0.262
[prior-calibration] train 4650/11326 valid_pixels=931092787 zero_ratio=0.262
[prior-calibration] train 4700/11326 valid_pixels=941394368 zero_ratio=0.262
[prior-calibration] train 4750/11326 valid_pixels=951176594 zero_ratio=0.262
[prior-calibration] train 4800/11326 valid_pixels=961094630 zero_ratio=0.262
[prior-calibration] train 4850/11326 valid_pixels=971002469 zero_ratio=0.262
[prior-calibration] train 4900/11326 valid_pixels=980935968 zero_ratio=0.261
[prior-calibration] train 4950/11326 valid_pixels=990665894 zero_ratio=0.261
[prior-calibration] train 5000/11326 valid_pixels=1000498437 zero_ratio=0.261
[prior-calibration] train 5050/11326 valid_pixels=1010280090 zero_ratio=0.261
[prior-calibration] train 5100/11326 valid_pixels=1019643067 zero_ratio=0.261
[prior-calibration] train 5150/11326 valid_pixels=1029820591 zero_ratio=0.261
[prior-calibration] train 5200/11326 valid_pixels=1039628952 zero_ratio=0.261
[prior-calibration] train 5250/11326 valid_pixels=1049662653 zero_ratio=0.261
[prior-calibration] train 5300/11326 valid_pixels=1060317750 zero_ratio=0.261
[prior-calibration] train 5350/11326 valid_pixels=1070582436 zero_ratio=0.260
[prior-calibration] train 5400/11326 valid_pixels=1080481428 zero_ratio=0.261
[prior-calibration] train 5450/11326 valid_pixels=1090772586 zero_ratio=0.260
[prior-calibration] train 5500/11326 valid_pixels=1100789895 zero_ratio=0.260
[prior-calibration] train 5550/11326 valid_pixels=1110879210 zero_ratio=0.260
[prior-calibration] train 5600/11326 valid_pixels=1120728412 zero_ratio=0.260
[prior-calibration] train 5650/11326 valid_pixels=1130609218 zero_ratio=0.260
[prior-calibration] train 5700/11326 valid_pixels=1140833630 zero_ratio=0.260
[prior-calibration] train 5750/11326 valid_pixels=1150793177 zero_ratio=0.260
[prior-calibration] train 5800/11326 valid_pixels=1160603465 zero_ratio=0.260
[prior-calibration] train 5850/11326 valid_pixels=1170111248 zero_ratio=0.261
[prior-calibration] train 5900/11326 valid_pixels=1180245877 zero_ratio=0.261
[prior-calibration] train 5950/11326 valid_pixels=1190479622 zero_ratio=0.261
[prior-calibration] train 6000/11326 valid_pixels=1200425527 zero_ratio=0.260
[prior-calibration] train 6050/11326 valid_pixels=1210182776 zero_ratio=0.260
[prior-calibration] train 6100/11326 valid_pixels=1220519834 zero_ratio=0.260
[prior-calibration] train 6150/11326 valid_pixels=1230572170 zero_ratio=0.260
[prior-calibration] train 6200/11326 valid_pixels=1240724724 zero_ratio=0.260
[prior-calibration] train 6250/11326 valid_pixels=1250755583 zero_ratio=0.260
[prior-calibration] train 6300/11326 valid_pixels=1260680618 zero_ratio=0.260
[prior-calibration] train 6350/11326 valid_pixels=1270588774 zero_ratio=0.260
[prior-calibration] train 6400/11326 valid_pixels=1280556325 zero_ratio=0.260
[prior-calibration] train 6450/11326 valid_pixels=1290208641 zero_ratio=0.260
[prior-calibration] train 6500/11326 valid_pixels=1300316713 zero_ratio=0.260
[prior-calibration] train 6550/11326 valid_pixels=1310336680 zero_ratio=0.259
[prior-calibration] train 6600/11326 valid_pixels=1320374346 zero_ratio=0.260
[prior-calibration] train 6650/11326 valid_pixels=1330162710 zero_ratio=0.260
[prior-calibration] train 6700/11326 valid_pixels=1340679152 zero_ratio=0.259
[prior-calibration] train 6750/11326 valid_pixels=1350742374 zero_ratio=0.259
[prior-calibration] train 6800/11326 valid_pixels=1360809990 zero_ratio=0.259
[prior-calibration] train 6850/11326 valid_pixels=1370994539 zero_ratio=0.259
